KPCA1,KPCA2,Macro_Desastre
-0.08358448975639725,-0.022486078250322224,Inundações e Chuvas
0.1636187982906424,-0.086702500142602,Inundações e Chuvas
-0.08024712556277316,0.010086941663860672,Seca e Estiagem
-0.08996542486729826,-0.016691502036751134,Seca e Estiagem
-0.09004600551809397,-0.017959275415484005,Inundações e Chuvas
-0.08773530650395052,0.00322899158852349,Seca e Estiagem
-0.08972075769586359,-0.01699820106174385,Seca e Estiagem
-0.08987677328531181,-0.01585109074881741,Seca e Estiagem
-0.09004603705771128,-0.017959174237424567,Seca e Estiagem
-0.08998371695974978,-0.01753586197581557,Seca e Estiagem
-0.08933844195779049,-0.017556177193724286,Seca e Estiagem
0.8897301878644426,-0.08911377437785534,Inundações e Chuvas
-0.07460968822764517,0.08368841917780556,Seca e Estiagem
-0.08873631516084439,-0.011807715197164084,Seca e Estiagem
-0.08449850263065917,0.027641331406325187,Seca e Estiagem
-0.0893345481026846,-0.009780110399835538,Seca e Estiagem
-0.07373202524639813,-0.02859346420149594,Tempestades Severas
-0.09004603705771128,-0.017959174237424567,Incêndios Florestais
0.13378602323293876,-0.012599083801822971,Seca e Estiagem
-0.08761297163457717,-0.0022422840091699788,Seca e Estiagem
-0.09004603705771128,-0.017959174237424567,Inundações e Chuvas
-0.08986646468872828,-0.017241219111414238,Tempestades Severas
-0.08155322678757444,-0.022373729584376032,Inundações e Chuvas
-0.09004603705771128,-0.017959174237424567,Tempestades Severas
-0.09004602509774974,-0.017952988427194096,Tempestades Severas
-0.08914664474350482,-0.00761425427576692,Seca e Estiagem
-0.0842931203599642,-0.0006702376119913335,Seca e Estiagem
-0.08996889329291861,-0.01685136929581424,Seca e Estiagem
-0.0898625018251577,-0.016739169482545252,Seca e Estiagem
-0.043161956213132464,-0.04485892795060366,Inundações e Chuvas
-0.08989981417286669,-0.018248598307151788,Inundações e Chuvas
-0.08994982153507179,-0.01652442573483801,Seca e Estiagem
-0.08999539945306183,-0.017578453543362422,Seca e Estiagem
-0.0831590838997712,-0.02543720639535024,Inundações e Chuvas
