KPCA1,KPCA2,Macro_Desastre
-0.497085822398155,-0.47090059888698466,Inundações e Chuvas
-0.49712953631169227,-0.47069757021046765,Inundações e Chuvas
-0.4970873561601687,-0.470906002029464,Seca e Estiagem
-0.4970840681917136,-0.47090331408983627,Seca e Estiagem
-0.49708393178843424,-0.4709032181597996,Inundações e Chuvas
-0.49708575152810275,-0.47090454328838266,Seca e Estiagem
-0.49708436736943473,-0.470903467054394,Seca e Estiagem
-0.4970842408860608,-0.4709034214158914,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.4970841230908094,-0.47090332697284193,Seca e Estiagem
-0.497084449885767,-0.47090360874873183,Seca e Estiagem
-0.4976858675251017,-0.47077042314412393,Inundações e Chuvas
-0.49709008464304966,-0.47090815760490795,Seca e Estiagem
-0.49708484107271306,-0.47090393131544683,Seca e Estiagem
-0.4970872252595485,-0.47090569027177065,Seca e Estiagem
-0.4970846479755338,-0.47090373057612434,Seca e Estiagem
-0.49708805689409985,-0.47090482075994144,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Incêndios Florestais
-0.4971261987181071,-0.4709470340307272,Seca e Estiagem
-0.49708548740770886,-0.4709044351111894,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708424877046276,-0.470903396664743,Tempestades Severas
-0.49708705268284337,-0.4705690857386821,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Tempestades Severas
-0.4970839339055523,-0.4709032195192991,Tempestades Severas
-0.49708481773884017,-0.47090384830056864,Seca e Estiagem
-0.4970863372552119,-0.47090513825614244,Seca e Estiagem
-0.4970840335221473,-0.4709032929090085,Seca e Estiagem
-0.497084272312769,-0.4709034442292232,Seca e Estiagem
-0.4970916970989607,-0.47089635659029055,Inundações e Chuvas
-0.49708400822450166,-0.470900601763148,Inundações e Chuvas
-0.4970840576756275,-0.4709033044834538,Seca e Estiagem
-0.49708410535535064,-0.4709033172971701,Seca e Estiagem
-0.4970860524300815,-0.4708448623994897,Inundações e Chuvas
-0.4970856367341827,-0.4709049123390258,Seca e Estiagem
-0.49709372177965194,-0.4708447034735167,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Seca e Estiagem
-0.4971197163943535,-0.4709228233676654,Tempestades Severas
-0.4971071282927155,-0.46554224399649946,Inundações e Chuvas
-0.49708097635814874,-0.47090357724810933,Seca e Estiagem
-0.496422854071529,-0.4703291090805891,Inundações e Chuvas
-0.5191173911143755,-0.49400623416613315,Seca e Estiagem
-0.49708497433143795,-0.4708412322455779,Inundações e Chuvas
-0.49708581923230133,-0.4709046050413635,Seca e Estiagem
-0.49708493812251214,-0.47075230356328623,Inundações e Chuvas
-0.4970844494748721,-0.4709035939997695,Seca e Estiagem
-0.49708402082700975,-0.47090194853066597,Tempestades Severas
-0.4971746562897698,-0.4677842680961179,Inundações e Chuvas
-0.49708574156341345,-0.47090454098921475,Seca e Estiagem
-0.4970992686485159,-0.4709159102839089,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Tempestades Severas
-0.4970845285013429,-0.4707780317306028,Inundações e Chuvas
-0.4971489224231733,-0.45844787808791154,Inundações e Chuvas
-0.4970956601531248,-0.47080018622523384,Tempestades Severas
-0.49708492986123554,-0.47090395386523526,Seca e Estiagem
-0.4970902521162784,-0.47090836273585723,Seca e Estiagem
-0.4970917849820427,-0.47090962514868534,Seca e Estiagem
-0.49715575434495757,-0.44862580611184877,Inundações e Chuvas
-0.49723062127354956,-0.47107635307869306,Seca e Estiagem
-0.5673927818554999,-0.4953173708933362,Inundações e Chuvas
-0.4970864465611251,-0.47090521431734284,Seca e Estiagem
-0.497087211795257,-0.4709056043738811,Seca e Estiagem
-0.49708661624233613,-0.4709050885683491,Seca e Estiagem
-0.49709097141931,-0.4709090264289431,Incêndios Florestais
-0.4970843124752629,-0.4709034069160497,Incêndios Florestais
-0.4970839312930498,-0.4709032180936828,Tempestades Severas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708423389652506,-0.4709034388262266,Inundações e Chuvas
-0.49708396921131726,-0.4709019112663622,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708510543216033,-0.47090397397684464,Seca e Estiagem
-0.4970844095377251,-0.470903491024872,Seca e Estiagem
-0.4970989851073036,-0.4709154452653193,Seca e Estiagem
-0.49708426800610345,-0.47090347716167924,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970852861229247,-0.4709040661532517,Incêndios Florestais
-0.4970841248409804,-0.4709033268263331,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708393170764065,-0.470903218319874,Seca e Estiagem
-0.4970618887510886,-0.4699837199704358,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708619469736515,-0.4706934230363817,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708798161474227,-0.47040173109510397,Inundações e Chuvas
-0.497084302007761,-0.4709034946827725,Inundações e Chuvas
-0.49708480457608134,-0.4708998676754471,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.49708651164234424,-0.4709052960110229,Seca e Estiagem
-0.49708415118122634,-0.47090338183432695,Inundações e Chuvas
-0.4970839520651755,-0.47090322944939755,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Deslizamentos
-0.49709857300985894,-0.47091545688340486,Seca e Estiagem
-0.4971069632449079,-0.4653330021150194,Inundações e Chuvas
-0.49713268976921243,-0.45688617305194484,Inundações e Chuvas
-0.4970841033074603,-0.47090331696696736,Seca e Estiagem
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970839312930498,-0.4709032180936828,Inundações e Chuvas
-0.4970849714962677,-0.4709038467420609,Inundações e Chuvas
