NCA1,NCA2,Macro_Desastre
-49564.986179820524,-231.2390568311042,Inundações e Chuvas
673775.1719291306,-130012.4165032405,Inundações e Chuvas
-242475.4370774619,-16134.945336653516,Seca e Estiagem
-132366.57576909647,11944.843071731251,Seca e Estiagem
-128253.0068732879,13050.31508775946,Inundações e Chuvas
-180167.32889999743,-3453.33964200682,Seca e Estiagem
-141153.6186804694,11430.100440285985,Seca e Estiagem
-138214.5607824376,10926.28091828843,Seca e Estiagem
-128253.59950405508,13046.842531782673,Seca e Estiagem
-134125.44230385727,12251.587926857423,Seca e Estiagem
-145418.8296783684,8257.60465062645,Seca e Estiagem
3211239.0011055088,601669.4603129439,Inundações e Chuvas
-284674.3044599556,-51661.361295031675,Seca e Estiagem
-164498.25075639185,4917.846121329252,Seca e Estiagem
-215488.79072630932,-17855.151068400697,Seca e Estiagem
-148319.10376027395,6473.311966336331,Seca e Estiagem
21033.918285560972,13040.859186202,Tempestades Severas
-128253.59950405508,13046.842531782673,Incêndios Florestais
-416333.6049675139,-86708.24316471606,Seca e Estiagem
-182399.0264374272,-1707.5365244675984,Seca e Estiagem
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-137721.27898714316,11888.464890921541,Tempestades Severas
-92042.02075875066,120013.44040996935,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Tempestades Severas
-128333.99629707765,13037.005924237956,Tempestades Severas
-153843.48751332314,5298.971508867005,Seca e Estiagem
-214030.98868629802,-7472.265518930181,Seca e Estiagem
-131212.75794686732,12012.535829118196,Seca e Estiagem
-139222.35583624113,10557.955974882709,Seca e Estiagem
109858.75294718306,81342.02379085582,Inundações e Chuvas
-124523.97646050874,12792.607739022073,Inundações e Chuvas
-131718.77071726124,11984.903399555897,Seca e Estiagem
-133609.61468604274,12303.626039887438,Seca e Estiagem
-38494.03343479369,23672.56662163737,Inundações e Chuvas
-157992.44163932189,28169.92940553273,Seca e Estiagem
80919.98060672737,-102650.51191816534,Tempestades Severas
-128253.59950405508,13046.842531782673,Seca e Estiagem
111107.31150659137,-161177.7501921134,Tempestades Severas
130598.92798140484,-56420.431411401856,Inundações e Chuvas
-107931.79609805821,18016.190306430555,Seca e Estiagem
732820.846639791,-52720.05934209918,Inundações e Chuvas
-2689472.3571517514,-1416012.602491462,Seca e Estiagem
-116015.39267312824,44598.105324226424,Inundações e Chuvas
-178975.19711107068,-4699.625370316307,Seca e Estiagem
-116622.62285195569,3531.4213068692397,Inundações e Chuvas
-143907.29873828855,8150.693694262826,Seca e Estiagem
-127614.46296171917,12295.659784087484,Tempestades Severas
1291042.6128668732,27288.41472546138,Inundações e Chuvas
-154284.09767065308,-3293.6571084070347,Seca e Estiagem
-459094.07558605063,-135790.88582433193,Seca e Estiagem
-128253.59950405508,13046.842531782673,Tempestades Severas
-109960.56520276084,8615.128350187646,Inundações e Chuvas
253755.94272838175,178247.95637644708,Inundações e Chuvas
230478.55178739692,10324.922704604429,Tempestades Severas
-156325.13681870973,3351.40985026998,Seca e Estiagem
-310635.66371547634,-44901.7075117541,Seca e Estiagem
-305989.96042883437,-71181.96394071484,Seca e Estiagem
373321.2387288214,-111851.40332245143,Inundações e Chuvas
-107447.0708942889,-206751.5121218747,Seca e Estiagem
4404021.127942677,-947239.7772960201,Inundações e Chuvas
-198182.30947084754,-14458.540343362372,Seca e Estiagem
-213695.00696934471,-15022.664774987938,Seca e Estiagem
-201635.4165064337,-5504.737623744568,Seca e Estiagem
-19737.724396820246,-42324.977609514055,Incêndios Florestais
-132426.40970074217,12073.680475010271,Incêndios Florestais
-128253.59950405508,13046.842531782673,Tempestades Severas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-121984.53716799365,14573.559853166744,Inundações e Chuvas
-126389.38061304908,12916.252579425585,Inundações e Chuvas
