PCA1,PCA2,Macro_Desastre
-0.00998897981226832,-0.012887469593154127,Inundações e Chuvas
0.04196644671236634,-0.0075563490713604735,Inundações e Chuvas
-0.014579837735895013,-0.008339699167666335,Seca e Estiagem
-0.014097083159075968,-0.01299948195868578,Seca e Estiagem
-0.014071069682659853,-0.013304304855502666,Inundações e Chuvas
-0.014592291410198261,-0.007256676051455368,Seca e Estiagem
-0.014055695259084832,-0.013285109662995788,Seca e Estiagem
-0.014104588836046995,-0.012874088502261679,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.014064613848176522,-0.013295990766453667,Seca e Estiagem
-0.014071977085994983,-0.01329753958814129,Seca e Estiagem
0.15247479990355864,0.0011964615755059322,Inundações e Chuvas
-0.016743748209545935,0.016728655695835874,Seca e Estiagem
-0.014140694102452308,-0.012807281200126357,Seca e Estiagem
-0.015238470822561696,0.0001275893422691375,Seca e Estiagem
-0.014279185184481971,-0.010857030332121173,Seca e Estiagem
-0.007017830715532044,-0.012594721147736927,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
-0.014861204704562684,-0.005807192725118899,Seca e Estiagem
-0.014389822948271385,-0.01000880376213761,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014059586938976278,-0.013290016669785788,Tempestades Severas
-0.012965868122435737,-0.013206222344173247,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Tempestades Severas
-0.0140710828934279,-0.013304184943420456,Tempestades Severas
-0.014319669923542859,-0.010395429424658686,Seca e Estiagem
-0.014333754558159066,-0.01093106229684369,Seca e Estiagem
-0.014100657226909367,-0.012962498107682388,Seca e Estiagem
-0.014085477935344573,-0.013078601435140903,Seca e Estiagem
0.01318784145327581,-0.011928004315619606,Inundações e Chuvas
-0.013389618729406019,-0.013234640717102954,Inundações e Chuvas
-0.014106725203232424,-0.01287528604245388,Seca e Estiagem
-0.014065335390009337,-0.013296848131484964,Seca e Estiagem
0.000603732532089252,-0.011806750710344446,Inundações e Chuvas
-0.013965003767412214,-0.011721997096890407,Seca e Estiagem
0.0026197758868068566,-0.01151884781653184,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.0076468531282883586,-0.012738698015382376,Tempestades Severas
-0.011837206127143108,-0.013235424181719184,Inundações e Chuvas
-0.013633338476720743,-0.012775865408493533,Seca e Estiagem
0.031470405390567564,-0.008478805797845004,Inundações e Chuvas
0.037364873299366684,0.2196952352713038,Seca e Estiagem
-0.01369315366775022,-0.013112749749640641,Inundações e Chuvas
-0.014743565009105848,-0.005513077475942077,Seca e Estiagem
-0.014039625040975497,-0.011572756715412157,Inundações e Chuvas
-0.014180900104175737,-0.012024292052435588,Seca e Estiagem
-0.013760369612808078,-0.01292995506119965,Tempestades Severas
0.047809614276708094,-0.007299355133483831,Inundações e Chuvas
-0.014297810197343445,-0.008250037826151779,Seca e Estiagem
-0.02068516368095767,0.061599995061405684,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Tempestades Severas
-0.013587399737170335,-0.013265339717263725,Inundações e Chuvas
-0.010062122105418706,-0.012426226178291052,Inundações e Chuvas
0.022956849504709574,-0.00950798895290889,Tempestades Severas
-0.01441818424570016,-0.009314406107546302,Seca e Estiagem
-0.01579755962802874,0.005397281123156992,Seca e Estiagem
-0.01792667855053245,0.030323368904737108,Seca e Estiagem
-0.009948441740941914,-0.012870116964353693,Inundações e Chuvas
-0.008313039735718585,-0.010657685068383688,Seca e Estiagem
0.5764298176225425,0.05662113399744786,Inundações e Chuvas
-0.01514341992458653,-0.0013500341316536966,Seca e Estiagem
-0.015062669995774111,-0.0016159468215303004,Seca e Estiagem
-0.014569743054021832,-0.0071521685119195705,Seca e Estiagem
-0.011300207430217386,-0.012416788630501637,Incêndios Florestais
-0.01401386725783243,-0.013294151536490165,Incêndios Florestais
-0.014071181349807787,-0.01330430628671015,Tempestades Severas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.013662907501025043,-0.013263367451411242,Inundações e Chuvas
-0.013730511706754838,-0.013269474933114036,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014157870438040888,-0.01199466176070689,Seca e Estiagem
-0.014053988990519819,-0.013283117437028938,Seca e Estiagem
-0.02032717418023401,0.05814263706668741,Seca e Estiagem
-0.01423963929197056,-0.011378969844225506,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014073793072279153,-0.012808750137340145,Incêndios Florestais
-0.014064287531729615,-0.013295699272626487,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071165721810979,-0.013304287025870517,Seca e Estiagem
-0.0075083487059979075,-0.01151567012082158,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.010288924795667842,-0.012946596133426264,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.012856262324031842,-0.007602879798147997,Inundações e Chuvas
-0.013068614210151767,-0.013205652710400482,Inundações e Chuvas
-0.011044261475632765,-0.013002507935717434,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.01442117739144477,-0.009989419381732072,Seca e Estiagem
-0.013469708066302936,-0.01324511499964884,Inundações e Chuvas
-0.014070399949967411,-0.013303343244728457,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Deslizamentos
-0.020941063529129944,0.06465182837063124,Seca e Estiagem
-0.013361101307077726,0.007522377683323842,Inundações e Chuvas
0.00023045008388895664,-0.011917887019567083,Inundações e Chuvas
-0.014065598103289029,-0.013297093141629433,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.012839445692506696,-0.013164685558258506,Inundações e Chuvas
-0.014151603716295966,-0.01234204661099558,Seca e Estiagem
-0.07305953544454001,0.6561608004340078,Seca e Estiagem
-0.01407181912697646,-0.013306712031088321,Inundações e Chuvas
-0.014074368169506536,-0.013300486496605271,Seca e Estiagem
-0.008119053598291268,-0.012732841442981391,Inundações e Chuvas
-0.014069049128731118,-0.013302086996529806,Inundações e Chuvas
-0.014058506581367322,-0.013288519159185335,Seca e Estiagem
-0.014343300749131038,-0.010283284316410964,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Seca e Estiagem
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014079036252152947,-0.013306239709403906,Seca e Estiagem
-0.032384176217319434,0.19323906135029342,Seca e Estiagem
-0.00021274654722425353,-0.012326257880832307,Tempestades Severas
-0.014088882985161099,-0.012996409837817737,Seca e Estiagem
-0.013277466412501906,-0.012468224931655949,Inundações e Chuvas
0.7102949595282134,0.14280281738118294,Inundações e Chuvas
0.15064494194663688,0.0036556555306112397,Inundações e Chuvas
-0.021844701990889333,0.07507569075545723,Seca e Estiagem
0.01685710491927858,-0.015494543224704503,Inundações e Chuvas
-0.0141087231267509,-0.012598397414937701,Seca e Estiagem
-0.011983332929941836,-0.013175195544418157,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Incêndios Florestais
0.0036511764886229,-0.002448951276431934,Inundações e Chuvas
-0.010528663810269035,-0.013045175219747952,Inundações e Chuvas
-0.013913584339239336,-0.008653797280490727,Seca e Estiagem
0.03798159599480799,0.04617793454472289,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.0140516910999195,-0.010537805546393109,Inundações e Chuvas
-0.014071181349807787,-0.01330430628671015,Inundações e Chuvas
-0.014071175098609064,-0.013304298582374297,Tempestades Severas
0.128642897414138,-0.002393613485564418,Inundações e Chuvas
-0.013730511706754838,-0.013269474933114036,Deslizamentos
