PCA1,PCA2,against_bug
-54975.7974504265,1334.957433198284,1.0
4837.918180546723,-2143.316734975362,0.5
4837.778580124024,-2150.2962021514213,2.0
4837.905062672915,-2144.148983443092,0.5
4837.78042555158,-2150.285138869878,0.5
-54995.50565273082,50.82039952390551,0.5
-454928.92499811936,7459.697778999671,2.0
194916.37090219813,-7616.6616988612295,1.0
-55015.130353959394,-1229.6597124521031,1.0
-454968.1863821235,4898.424550579578,1.0
4837.860364943976,-2146.6298930361645,2.0
584890.1402928573,-12315.347337347783,1.0
195033.9878736094,60.33561816474685,0.5
4837.818634413881,-2148.5973083830904,0.5
-255011.287798241,553.4711567584945,1.0
4837.892143606441,-2144.8312686207028,0.5
195190.8903025291,10298.99185266302,0.5
195190.91020702757,10300.081313560699,1.0
195033.99760717293,60.686073556511474,1.0
-55034.745090970886,-2509.6772610904227,1.0
-55034.75324128545,-2509.868078315143,1.0
-55015.07679694018,-1227.3529717779275,0.5
-54995.41741797328,54.57518795376927,0.5
4818.263086561812,-3424.975613380211,1.0
-55015.164078925154,-1231.383681017629,2.0
4837.79356527538,-2149.704685585326,0.5
4837.899249938782,-2144.749160011783,1.0
195190.94629260106,10302.01246459749,0.25
4837.915373525815,-2143.5270051322896,0.5
4837.909578506602,-2143.853158211192,2.0
4837.838113721926,-2147.4738159669105,2.0
-55015.12571643526,-1230.1329085506568,0.5
4837.894960270729,-2144.41275193591,2.0
195347.94447827642,20544.689222553192,1.0
-255030.94369734498,-728.7698507591194,0.5
-55015.21067981422,-1233.9533730686799,0.5
-54995.43812892714,53.861863893802365,1.0
4818.264580157353,-3425.421149716767,0.5
195347.7727199127,20538.199222573545,1.0
-55015.12821786385,-1229.4884483493133,2.0
-54975.91118045268,1329.3669107128262,1.0
195347.7821454415,20537.90971217116,0.25
-255030.94155535637,-728.4703652714961,0.5
-55015.068322470295,-1227.352426260457,0.5
-55015.083020554855,-1227.4675933658327,1.0
4818.325852269074,-3422.683762422259,1.0
-55015.100764300674,-1228.5049327036959,1.0
-55015.13557677879,-1229.80345575926,1.0
-55015.10266027879,-1228.106624790229,0.25
4837.825969824102,-2147.589607227146,1.0
-55034.8106321434,-2512.9751302797904,1.0
-55015.18397868425,-1232.6373624777934,0.5
4837.86298605497,-2145.752321432561,0.5
4837.829014717136,-2147.801016543124,1.0
584909.7567638229,-11035.18657798438,0.5
-454968.1485463034,4899.99236823743,1.0
195033.98374224198,59.83399736970932,1.0
-454968.2126267428,4897.0951164662665,0.5
4837.829715298722,-2147.8618865075114,1.0
-255011.2795506973,553.6213895465153,0.5
195190.88210073137,10299.15505283856,2.0
4818.316220537294,-3422.639939290293,1.0
4837.863168065203,-2145.7156980180844,1.0
195014.45476159197,-1216.7567426645764,0.5
-55015.15990215668,-1231.421714103597,1.0
-55015.148287233664,-1230.6099873919811,1.0
-55015.155545170535,-1231.4206815137204,0.5
195347.70468740538,20535.33981070215,2.0
194975.14884422882,-3779.888937334321,1.0
-55015.17597514088,-1232.350487550626,1.0
-55015.111063107266,-1228.5995755908862,2.0
4837.82541602687,-2148.0450625397407,2.0
195347.95562002412,20545.78225912295,0.25
4837.794257838512,-2149.673594013215,0.5
4837.8377450814005,-2147.754392723251,0.5
-55015.11680746905,-1229.5262760407786,2.0
4837.899307118496,-2144.6139913469124,1.0
195347.8461143677,20540.860374501033,1.0
-55015.12949920271,-1229.534170228435,1.0
-55015.06957678229,-1226.9705191533485,0.5
-55015.07803298067,-1227.4932044430243,1.0
-55015.15052472113,-1231.0801798878674,1.0
194955.46849607513,-5063.1097491756045,0.5
-55015.167421704275,-1231.9711544611637,0.5
-55015.08437881281,-1227.67007597874,2.0
4837.835801399546,-2147.1421012333503,2.0
194936.01139344834,-6335.066005741759,0.5
4818.254393519368,-3426.052256729745,4.0
-55015.159618456964,-1231.2083745074196,1.0
-55015.183837798075,-1232.6313020287507,2.0
194935.98337235325,-6336.495890365872,1.0
195347.83942942647,20541.0254527141,0.5
194955.48510769685,-5062.0839110673005,1.0
4837.830542842392,-2147.5162217566667,1.0
194955.5402160131,-5059.184749034095,1.0
4837.907448720653,-2143.796744188081,0.25
195034.07052758802,64.06670800223219,1.0
-55015.11769414449,-1228.7575330591735,1.0
-55015.19209765829,-1233.076897511135,1.0
-55034.73084439023,-2508.7062055527786,1.0
4837.800750731956,-2149.171484212271,0.5
-254991.62453457073,1835.7720442065265,1.0
-55015.13243134436,-1230.352571585021,2.0
194955.47152154334,-5062.944616920908,1.0
4818.23330178787,-3427.272471155424,1.0
-55015.18235163239,-1232.451479351992,1.0
4837.843014643295,-2147.054806230899,1.0
194955.60533444886,-5056.079859659883,2.0
-54995.424076342606,53.69595472439687,0.5
-454968.14778738795,4900.004497375381,1.0
584948.9480801036,-8476.706640889377,0.25
-55015.0841444775,-1227.6527097370617,1.0
-55015.187034978415,-1232.8599152680254,0.5
-55034.842167244526,-2514.722206964483,1.0
195347.8183267729,20540.162184048157,0.5
-55015.138234158396,-1230.5819321790605,0.5
-55015.13846410997,-1230.0773467338531,1.0
-55034.668075980735,-2505.918236683967,2.0
-254991.7005944939,1832.0687548630685,0.5
-254991.68964139512,1832.6466600534304,1.0
584909.7002129531,-11037.693054763884,0.5
4837.865742590046,-2146.05403068785,2.0
-55015.18808871391,-1232.8278489020522,1.0
195347.81483545806,20540.090466728623,1.0
-254991.65036744776,1834.2786504013793,0.5
4837.892390053486,-2145.0180238243884,2.0
-55015.06859374966,-1226.6478537678704,1.0
4837.7617044404615,-2151.1385603577146,0.5
-55034.7961928834,-2512.2981846818548,1.0
4818.248353026807,-3425.881839357544,2.0
194936.01243400527,-6335.099701274959,0.5
584909.7003531959,-11037.79103554385,0.5
-55015.19019612949,-1232.918543855356,0.5
-55015.04990768095,-1225.9206120677318,1.0
4857.4665332171135,-866.6830248654551,1.0
4818.209451039555,-3427.7150468800646,1.0
-55015.06485631305,-1226.5651277634042,4.0
584890.1266835267,-12315.829073512323,1.0
