T-SNE1,T-SNE2,Macro_Desastre
42.338017,-3.159916,Inundações e Chuvas
20.276224,28.615366,Inundações e Chuvas
-53.357635,5.1107388,Seca e Estiagem
-14.315131,-12.860683,Seca e Estiagem
13.148061,-11.874215,Inundações e Chuvas
-35.510223,11.851951,Seca e Estiagem
-19.422201,20.617632,Seca e Estiagem
-17.627304,3.620861,Seca e Estiagem
18.253868,-25.400623,Seca e Estiagem
-11.467531,5.3730903,Seca e Estiagem
-23.760529,42.753452,Seca e Estiagem
24.451952,24.204927,Inundações e Chuvas
-50.994637,-6.5542984,Seca e Estiagem
-41.87276,5.6447473,Seca e Estiagem
-37.23601,16.821035,Seca e Estiagem
-22.857103,6.8670435,Seca e Estiagem
33.30488,5.468808,Tempestades Severas
19.17299,-24.314827,Incêndios Florestais
-28.380402,41.19288,Seca e Estiagem
-43.007305,5.3097796,Seca e Estiagem
20.837023,-24.130938,Inundações e Chuvas
-16.001532,16.197214,Tempestades Severas
21.748428,8.074115,Inundações e Chuvas
21.244606,-24.160137,Tempestades Severas
0.8285858,-22.2819,Tempestades Severas
-27.461494,5.434886,Seca e Estiagem
-51.564095,6.077796,Seca e Estiagem
-12.057962,-18.118437,Seca e Estiagem
-21.300354,9.514662,Seca e Estiagem
41.70257,33.201756,Inundações e Chuvas
51.36743,1.6637877,Inundações e Chuvas
-11.772235,-15.396867,Seca e Estiagem
-10.771003,2.9886715,Seca e Estiagem
43.030205,16.003284,Inundações e Chuvas
-5.1725206,20.5904,Seca e Estiagem
30.766657,14.121616,Tempestades Severas
20.265476,-24.033852,Seca e Estiagem
32.81687,14.094824,Tempestades Severas
10.669822,18.6283,Inundações e Chuvas
1.4637322,-6.1189804,Seca e Estiagem
22.657722,31.315996,Inundações e Chuvas
-1.3513026,32.739517,Seca e Estiagem
16.08099,0.1674757,Inundações e Chuvas
-34.60159,12.895023,Seca e Estiagem
9.384572,6.2322965,Inundações e Chuvas
-22.854908,10.05118,Seca e Estiagem
52.94933,-6.034064,Tempestades Severas
23.775316,32.89338,Inundações e Chuvas
-4.5404882,14.879345,Seca e Estiagem
-62.197697,-14.69345,Seca e Estiagem
21.509783,-24.292812,Tempestades Severas
9.872723,5.288095,Inundações e Chuvas
6.667762,19.922718,Inundações e Chuvas
35.705864,20.418081,Tempestades Severas
-28.913116,5.215109,Seca e Estiagem
-54.290516,3.1673527,Seca e Estiagem
-55.812523,-10.892344,Seca e Estiagem
11.047107,21.573505,Inundações e Chuvas
26.891016,16.491278,Seca e Estiagem
19.040352,16.497078,Inundações e Chuvas
-43.86051,-0.87171304,Seca e Estiagem
-36.490578,19.166113,Seca e Estiagem
-34.92443,22.25489,Seca e Estiagem
32.224186,13.229772,Incêndios Florestais
-10.375739,7.82488,Incêndios Florestais
21.611286,-24.292841,Tempestades Severas
19.240295,-24.856194,Inundações e Chuvas
-3.9947796,-9.615085,Inundações e Chuvas
51.58648,-4.0324855,Inundações e Chuvas
19.443762,-25.536825,Inundações e Chuvas
-29.713903,24.758526,Seca e Estiagem
-20.352928,22.006636,Seca e Estiagem
-61.597565,-13.435344,Seca e Estiagem
-23.643532,-12.01869,Seca e Estiagem
20.092781,-24.550167,Inundações e Chuvas
-32.530506,25.66767,Incêndios Florestais
-10.992524,6.1220117,Seca e Estiagem
19.64379,-25.413996,Inundações e Chuvas
20.847168,-25.017094,Inundações e Chuvas
4.0804267,-22.23062,Seca e Estiagem
27.274973,23.194016,Inundações e Chuvas
18.910004,-25.935347,Inundações e Chuvas
29.706059,4.514113,Inundações e Chuvas
