T-SNE1,T-SNE2,Macro_Desastre
37.064297,6.444573,Inundações e Chuvas
34.74175,-20.56048,Inundações e Chuvas
-50.312412,6.0548153,Seca e Estiagem
-9.717588,-2.916688,Seca e Estiagem
16.082363,16.62508,Inundações e Chuvas
-36.48227,2.6627836,Seca e Estiagem
-25.553925,-34.851074,Seca e Estiagem
-16.457148,-20.248955,Seca e Estiagem
15.486932,30.16991,Seca e Estiagem
-11.065802,-35.84126,Seca e Estiagem
-57.249393,-17.698044,Seca e Estiagem
19.768063,-19.870508,Inundações e Chuvas
-38.507874,27.152193,Seca e Estiagem
-47.112793,-3.0107362,Seca e Estiagem
-38.686592,13.545302,Seca e Estiagem
-27.930021,-14.046508,Seca e Estiagem
35.510376,-9.256242,Tempestades Severas
16.957369,29.177704,Incêndios Florestais
-52.961918,-14.241592,Seca e Estiagem
-46.041706,-0.4347006,Seca e Estiagem
16.457485,28.975243,Inundações e Chuvas
-20.7185,-35.611584,Tempestades Severas
23.20459,-0.24860361,Inundações e Chuvas
14.41367,29.62752,Tempestades Severas
-0.48110685,13.841234,Tempestades Severas
-30.676935,-14.39418,Seca e Estiagem
-50.153988,4.240446,Seca e Estiagem
-7.474142,-2.4618976,Seca e Estiagem
-14.5565,-30.749628,Seca e Estiagem
29.202354,-33.759163,Inundações e Chuvas
50.774166,-1.6562381,Inundações e Chuvas
-8.237299,-2.8654034,Seca e Estiagem
-9.060298,-34.91227,Seca e Estiagem
40.357754,-17.130573,Inundações e Chuvas
-5.490201,-14.827298,Seca e Estiagem
8.080851,-29.421305,Tempestades Severas
16.044014,29.072334,Seca e Estiagem
7.5825377,-31.2588,Tempestades Severas
18.136984,-9.668429,Inundações e Chuvas
-0.27641577,-8.472621,Seca e Estiagem
45.4539,-23.200182,Inundações e Chuvas
1.8332137,-20.955046,Seca e Estiagem
25.81756,0.14720218,Inundações e Chuvas
-34.719154,6.6662583,Seca e Estiagem
15.300881,2.0790856,Inundações e Chuvas
-24.92993,-20.877913,Seca e Estiagem
50.29109,7.001852,Tempestades Severas
45.51009,-24.215769,Inundações e Chuvas
1.5083668,-3.0098042,Seca e Estiagem
-27.494913,39.530846,Seca e Estiagem
16.419174,29.529085,Tempestades Severas
13.546169,2.209108,Inundações e Chuvas
13.909314,-11.210922,Inundações e Chuvas
24.122412,-28.787853,Tempestades Severas
-33.609467,-4.5964,Seca e Estiagem
-45.81786,13.467305,Seca e Estiagem
-34.29342,32.707294,Seca e Estiagem
17.118553,-11.877371,Inundações e Chuvas
11.564083,-31.429934,Seca e Estiagem
40.07757,-38.12057,Inundações e Chuvas
-40.690018,13.104067,Seca e Estiagem
-38.443726,12.170563,Seca e Estiagem
-37.30542,5.0871396,Seca e Estiagem
6.8279586,-30.461302,Incêndios Florestais
-11.870588,-38.722958,Incêndios Florestais
17.687624,29.57611,Tempestades Severas
17.595383,29.562916,Inundações e Chuvas
34.212925,-1.6901734,Inundações e Chuvas
49.351723,5.7669506,Inundações e Chuvas
16.784918,30.121286,Inundações e Chuvas
-32.704536,-28.358864,Seca e Estiagem
-26.797525,-34.086403,Seca e Estiagem
-28.202642,39.338722,Seca e Estiagem
-24.282253,-12.112573,Seca e Estiagem
15.468126,29.49895,Inundações e Chuvas
-36.13462,-30.613977,Incêndios Florestais
-11.420311,-36.578156,Seca e Estiagem
17.962444,29.773947,Inundações e Chuvas
16.479645,30.085386,Inundações e Chuvas
1.7566006,16.389784,Seca e Estiagem
16.93078,-21.915693,Inundações e Chuvas
17.27821,30.230705,Inundações e Chuvas
35.188763,-7.061934,Inundações e Chuvas
16.805616,29.124678,Inundações e Chuvas
-30.447016,9.262568,Inundações e Chuvas
34.300663,-3.6471024,Inundações e Chuvas
34.707584,-5.6911054,Inundações e Chuvas
14.460494,29.167576,Inundações e Chuvas
-49.961296,4.385082,Seca e Estiagem
34.303402,-2.3376064,Inundações e Chuvas
-4.572606,8.852032,Inundações e Chuvas
16.070244,28.926243,Deslizamentos
-27.177263,40.36452,Seca e Estiagem
16.142574,-9.693974,Inundações e Chuvas
17.766188,-11.933218,Inundações e Chuvas
-8.723346,-34.329884,Seca e Estiagem
16.07484,30.091192,Inundações e Chuvas
15.615764,29.515999,Inundações e Chuvas
31.682333,4.840963,Inundações e Chuvas
