T-SNE1,T-SNE2,Macro_Desastre
42.5048,-2.8430119,Inundações e Chuvas
20.84479,28.866539,Inundações e Chuvas
-57.659718,3.1108065,Seca e Estiagem
-15.263,-10.840045,Seca e Estiagem
13.134658,-12.416164,Inundações e Chuvas
-38.02598,13.786949,Seca e Estiagem
-21.306284,22.539001,Seca e Estiagem
-19.049223,5.320509,Seca e Estiagem
17.080093,-26.860836,Seca e Estiagem
-12.831615,7.5518146,Seca e Estiagem
-23.129814,44.345078,Seca e Estiagem
24.763018,23.783749,Inundações e Chuvas
-52.622185,-10.0495615,Seca e Estiagem
-46.293373,6.4174247,Seca e Estiagem
-39.273586,18.635395,Seca e Estiagem
-24.324255,8.534771,Seca e Estiagem
34.44634,5.4017158,Tempestades Severas
20.452782,-25.594044,Incêndios Florestais
-28.742533,43.178585,Seca e Estiagem
-47.40122,5.710168,Seca e Estiagem
19.556362,-26.518791,Inundações e Chuvas
-17.725319,18.236063,Tempestades Severas
22.846458,9.765802,Inundações e Chuvas
20.193123,-25.579174,Tempestades Severas
0.4547536,-20.66899,Tempestades Severas
-28.234077,5.587445,Seca e Estiagem
-56.05752,4.4079127,Seca e Estiagem
-12.684843,-16.239187,Seca e Estiagem
-23.197145,11.461161,Seca e Estiagem
42.850945,33.605915,Inundações e Chuvas
52.224884,1.2391373,Inundações e Chuvas
-12.502731,-13.39508,Seca e Estiagem
-12.0550785,5.183417,Seca e Estiagem
44.62213,16.31955,Inundações e Chuvas
-5.0127506,19.845772,Seca e Estiagem
33.105183,14.098534,Tempestades Severas
19.776888,-25.899345,Seca e Estiagem
35.161842,14.362509,Tempestades Severas
11.584853,18.089188,Inundações e Chuvas
-0.6304558,-1.1447207,Seca e Estiagem
23.18714,31.465395,Inundações e Chuvas
-0.92342144,32.097507,Seca e Estiagem
16.428324,-0.8956015,Inundações e Chuvas
-36.96646,14.745571,Seca e Estiagem
10.729293,5.9111032,Inundações e Chuvas
-24.81359,11.858208,Seca e Estiagem
52.964725,-6.71203,Tempestades Severas
24.349333,33.021816,Inundações e Chuvas
-3.2829015,14.079913,Seca e Estiagem
-55.54701,-24.47706,Seca e Estiagem
18.009178,-25.64882,Tempestades Severas
11.129411,4.8473005,Inundações e Chuvas
7.3580256,19.178595,Inundações e Chuvas
36.685513,21.18458,Tempestades Severas
-29.74822,3.9081576,Seca e Estiagem
-58.189568,0.9553894,Seca e Estiagem
-54.055996,-16.714596,Seca e Estiagem
11.69645,21.116198,Inundações e Chuvas
29.217285,16.702932,Seca e Estiagem
20.137003,17.197868,Inundações e Chuvas
-46.829063,-0.73638207,Seca e Estiagem
-38.486053,20.936535,Seca e Estiagem
-36.933037,23.915741,Seca e Estiagem
34.663708,13.38627,Incêndios Florestais
-11.8197775,10.083251,Incêndios Florestais
20.906574,-25.839684,Tempestades Severas
20.773193,-25.72299,Inundações e Chuvas
-4.721427,-7.682074,Inundações e Chuvas
51.485054,-4.652683,Inundações e Chuvas
18.710495,-26.71078,Inundações e Chuvas
-31.642916,26.51039,Seca e Estiagem
-22.26543,23.931587,Seca e Estiagem
