UMAP1,UMAP2,price_range
10.598111,5.6766543,0
2.7888935,3.8482444,2
7.82022,4.6172357,1
-0.21085486,5.9133706,3
5.121032,6.5627203,1
2.6064532,4.6823277,1
2.1186366,3.9575062,2
9.28635,4.7354727,0
0.3992221,6.035369,3
5.7829905,6.602811,1
8.948111,6.4085903,0
8.955235,3.7567556,0
2.409878,7.1031737,2
-1.0062516,9.075796,3
3.9105327,7.7200646,3
3.0676153,4.848039,2
-2.312209,5.626042,3
-1.2819297,6.885941,3
5.864244,6.466944,1
9.004633,7.024736,0
9.376045,4.4741006,0
5.825091,7.1201034,2
7.4833984,5.5471067,1
5.0803304,7.717884,2
8.73889,2.8082952,0
6.1626053,6.523586,1
1.0623451,3.2804785,3
1.4455405,7.040688,2
3.0313346,3.4970453,2
9.644588,6.908283,0
9.396,3.853807,0
10.320814,3.2081752,0
-2.2030962,5.4398923,3
11.1530075,4.8915153,0
4.489658,4.8179884,1
4.1529164,4.962644,1
1.0891143,4.3115635,2
8.834311,6.5117087,0
-0.449241,6.187527,3
10.274212,6.1587577,0
2.8656561,3.9974,2
1.2995782,6.1821084,3
4.2434425,7.4859815,2
9.509536,7.001706,0
0.2156558,5.211258,2
4.098255,7.809807,3
2.8440776,5.8654456,2
7.68208,4.4058957,1
-0.78094286,7.0874243,3
7.688176,7.268622,1
-1.0139242,9.084555,3
5.9946914,4.3512554,1
10.324039,6.092176,0
9.483932,4.131982,0
7.2248216,3.394051,1
7.132437,3.338868,0
5.8766785,6.628176,1
1.9674699,8.777433,3
9.729146,5.840844,0
9.794618,6.066791,0
8.5354,7.604363,1
-1.2665217,7.7338376,3
0.3655835,5.895289,3
4.668301,4.2696886,1
7.8490205,3.4101226,0
10.665967,5.507409,0
-2.157547,5.7383995,3
-0.7779883,7.3513074,3
4.712797,4.691902,1
2.921894,7.9424553,2
2.7727535,3.1140313,2
1.2917709,6.046366,2
10.046687,5.712323,0
7.486416,4.7120905,1
1.2153662,4.698917,2
10.842169,4.859804,0
10.463705,4.9791274,1
-2.2528243,5.1374235,3
2.6249473,3.130088,2
3.808506,4.7524157,2
-1.6978472,4.6960692,3
3.3549678,2.9333544,2
4.79069,4.435882,1
10.081887,7.056693,0
6.975582,4.8437567,1
-2.244674,5.103785,3
3.836348,5.1992097,1
-1.5362236,6.4136457,3
-1.8887793,4.916361,3
8.8952675,6.295694,0
0.5792973,5.6252723,3
-1.0080211,7.5122886,3
2.8426807,3.0874321,2
7.3999195,6.591602,1
0.49548548,8.206068,3
3.8788922,7.14019,2
4.514043,7.7334366,2
-1.032632,7.991614,3
4.2122955,2.9851162,1
7.280912,4.7550197,1
9.361781,2.828709,0
9.459536,6.8674498,0
7.870379,6.9821935,1
8.760066,5.0214443,0
11.066728,6.082788,0
0.7106646,7.4722943,3
1.3045548,4.5696497,2
10.285644,3.1412835,0
7.7645125,4.4766755,1
5.622474,6.5396876,1
9.398965,6.745362,0
8.143053,3.3833032,0
1.9091599,8.7887745,3
7.450438,7.8063903,1
2.5793588,7.615961,3
3.5371351,2.4412549,2
3.221202,7.155762,3
-0.4818183,4.3774214,2
10.672124,4.6023245,0
-0.18565537,4.4324546,2
5.9847403,3.3509767,1
-0.061548032,6.1491976,3
4.1511927,7.552793,2
5.8852615,4.9093046,1
-1.824281,4.893293,3
1.7988137,8.778089,3
9.908278,5.8480606,0
0.04515029,4.6594443,2
9.923247,7.5041494,0
2.3297515,7.7968035,2
0.27214414,5.8648214,3
10.351804,4.0521913,0
4.068747,6.855288,2
3.3834045,6.2829304,2
10.89823,6.4044847,0
0.92714804,7.1057286,3
5.2402234,2.7908618,1
8.981418,2.9781888,0
8.32112,6.067849,0
2.6485972,3.6051884,2
-0.44660488,4.4580617,2
7.970234,4.4917088,1
3.4420884,6.7622137,3
1.9174551,3.9995017,2
11.036347,3.429471,0
9.757843,4.011641,0
8.876163,4.38366,0
7.288276,4.771743,1
4.1116114,2.8011887,1
3.4779837,6.6360273,2
0.58074,8.062494,3
7.012225,4.804705,1
7.567229,7.759773,1
10.3573885,3.3390403,0
1.61289,2.6107123,2
2.7923956,4.097071,2
10.841453,4.7489924,0
6.047904,7.4003444,1
10.938891,5.515475,0
3.573555,3.5036378,2
2.2185795,6.7216253,2
-1.0432383,5.5063505,3
1.9354059,8.762135,3
2.1701925,7.932527,2
6.687968,7.66679,1
9.193275,7.158869,0
8.073399,6.765252,1
1.488364,4.352523,2
5.1020727,7.9437757,2
0.76538926,5.4437423,3
0.82591766,7.0029125,3
6.859075,3.0491943,0
7.4655476,5.239856,1
8.77767,4.2068763,0
-0.8470424,8.642643,3
7.18704,5.348168,1
4.0359406,2.6897602,1
1.9731156,4.031107,2
7.5003695,5.7076216,1
8.633159,6.846462,0
9.758476,4.8881497,0
9.086796,6.008601,0
9.375539,6.771689,0
7.384796,2.9579654,0
-1.7309074,4.811541,3
3.287977,2.6259785,2
11.011804,6.523262,0
0.36663207,5.9309707,3
10.542024,3.5098476,0
9.2268305,7.417329,0
11.44915,4.679952,0
9.875093,7.3158207,0
7.052119,5.8989487,1
-1.3014807,6.0987563,3
1.2152225,7.1058464,3
7.5289655,4.9183493,1
10.789398,4.8039823,0
7.5732117,6.74479,1
4.293817,3.4051354,1
7.8188004,4.306236,1
8.228948,5.27342,1
2.39611,5.3276987,2
5.1526146,8.008328,2
4.0587626,7.841197,3
-0.49882096,4.6491632,3
-2.0973096,5.8857374,3
8.682604,8.364508,1
0.23850305,5.4154396,2
11.297235,4.8350143,0
9.447268,3.921581,0
8.948071,5.627612,0
4.4428062,6.8996787,2
4.3134375,5.418928,1
7.3537183,4.8814645,1
1.0556952,3.1800685,3
4.5177994,5.4597945,1
8.49778,6.601066,0
-0.16256759,4.9707584,2
4.111802,4.624245,1
8.784577,8.398933,1
-1.4011561,6.2404714,3
5.992426,8.041147,2
3.240242,6.400312,3
10.748542,6.4338827,0
9.512998,7.550238,0
3.3917496,3.3937786,2
8.16298,5.4727974,1
3.4527934,7.07862,3
10.988786,5.496659,0
10.850821,6.9257216,1
3.6764517,2.5117207,2
10.431042,3.2005606,0
5.872053,7.7953568,2
-1.8638717,4.914132,3
1.7102541,4.3286104,2
8.466149,7.1181192,0
5.5196495,6.013169,1
-2.2825184,5.024241,3
-1.3881274,6.488072,3
7.8535957,3.4558668,0
4.1636944,3.1677954,1
0.085785255,7.021643,3
-0.2686293,4.752413,2
-2.1972857,6.1174,3
9.274079,2.833514,0
-0.2572,7.853919,3
4.3940454,5.163761,1
3.0271633,4.235582,2
-2.0582414,6.5141854,3
0.77391565,5.4176397,3
0.6100286,4.214336,2
8.555382,8.418876,1
6.338885,3.2126622,0
-1.1962255,7.5816956,3
-1.3310407,6.105768,3
8.483941,8.352733,1
-1.5137805,6.2813716,3
0.17581938,6.6345315,3
-0.25910482,6.1044474,3
1.3811237,7.519495,3
0.47923133,7.968623,3
9.632497,7.6058884,0
3.3162372,3.8234835,1
2.7968903,5.837816,2
3.3510733,7.013163,2
4.054678,2.8834386,2
3.7898514,7.578401,3
10.169396,6.487042,0
3.7205858,5.5207095,2
-1.0172157,9.096371,3
2.341907,5.2509484,2
4.015351,7.7798295,2
2.945942,4.830273,2
5.529503,5.7157845,1
9.479967,2.8421159,0
3.5912938,5.241068,2
10.536457,4.111016,0
3.2343261,7.0760307,3
-2.1611261,5.921231,3
7.2534513,8.334634,1
-1.0044123,9.082216,3
5.240826,6.4607606,1
11.029985,6.1739564,0
-1.928968,6.7564325,3
6.821415,7.714603,1
2.1180985,3.9088373,2
9.890016,4.8106194,0
9.352272,6.7190123,0
-1.419777,4.5413947,3
10.555462,6.52273,0
6.7412806,4.7127805,1
3.6006937,6.2246437,2
0.29218507,6.9707246,3
-1.7369597,5.6256485,3
-2.3388166,5.020602,3
10.663893,7.4009757,1
8.654551,5.4184318,1
9.677356,5.90984,0
5.084758,5.153968,1
-2.1932538,6.0240307,3
-0.8989536,8.203544,3
8.460206,6.213238,0
7.7276254,6.3560996,1
8.073532,8.69887,2
2.257597,3.8657026,2
10.626462,3.8652656,0
1.2443215,7.420833,3
-0.039335374,6.5440283,3
0.862964,4.3084865,2
-0.84174293,8.287293,3
5.8330097,7.8607483,2
-0.9613818,9.019708,3
2.9747288,4.5883255,2
9.5943575,5.673381,0
2.9665942,3.1050391,2
5.9989047,5.9630456,1
4.114033,2.8584487,1
4.348336,4.6838646,1
10.047815,2.9948137,0
9.106176,4.3137918,0
9.668586,7.6648736,0
-1.3207079,4.120016,3
4.0101914,7.7996526,3
-1.7133572,7.064223,3
8.115692,5.4564238,1
10.008836,3.838991,0
5.023566,2.329793,1
8.334345,6.6000566,0
3.183271,5.1483474,2
-0.5426537,4.4243474,2
-0.12814802,4.8732567,3
8.904791,3.5923767,0
1.2104408,6.9853005,3
3.698133,7.6096897,3
3.5490806,2.360184,2
7.642943,8.493691,1
2.1231294,7.9111843,3
10.399037,3.8877754,0
10.655414,3.6799004,0
-0.98900783,5.4074736,2
7.065107,8.18273,1
-0.15322128,8.426413,3
3.9969096,7.3139133,2
11.515191,4.6963363,0
7.001138,5.498876,1
5.0155272,2.355494,1
3.303972,5.2231975,1
7.583402,3.4494455,1
4.532509,3.7098927,1
0.63700575,8.3855915,3
4.419252,6.228622,2
10.583892,6.6773143,0
8.434807,6.0147896,0
3.1802802,6.67986,3
-1.3922114,6.2798457,3
11.734792,4.8075967,0
-1.1108104,5.6864448,3
11.121609,3.498759,0
10.619243,3.163795,0
5.167373,7.5015597,2
10.669761,6.5682693,0
10.979747,6.0247946,1
3.0807528,3.4923234,2
2.1189852,5.509764,2
2.7429657,2.571814,2
-1.1276941,7.287251,3
8.803974,3.0588903,0
1.2617912,6.0351415,3
3.1897707,2.873913,2
3.5756028,6.6008697,3
0.5595517,6.9748425,3
-1.3724802,6.295173,3
-1.2543905,6.8056574,3
1.9505523,4.0004787,2
5.1636105,6.445659,1
2.2783883,3.9169176,1
10.295578,6.003793,0
-0.7690063,8.201216,3
3.9787078,5.391379,1
-1.3828952,4.6826754,3
-2.2556357,5.138297,3
9.985913,5.920159,0
4.5507007,6.994795,2
-0.86402476,7.806047,3
2.9286277,8.0069895,2
-1.8664037,6.2618327,3
-1.5622246,6.9411926,3
-1.0430994,8.119813,3
7.732302,6.631243,0
9.800784,5.090704,0
3.1800022,4.1134214,2
-1.0459685,6.3208985,3
7.878994,5.557305,0
10.039202,5.1602,0
1.9365289,3.2198732,2
-1.8817035,4.859272,3
5.1244464,7.307932,2
6.156369,6.7817593,1
4.5311713,5.514001,1
3.935069,7.174816,2
6.6067276,8.106107,1
0.07996089,4.9999046,2
8.667994,3.5564773,0
0.09086776,5.9094615,3
7.1170187,5.6287584,1
3.2274303,2.5360353,2
10.386886,4.02628,0
8.494883,6.412452,0
5.9856696,3.852626,1
11.768468,5.2279463,0
7.6536117,8.537639,2
9.687003,6.199804,0
4.021563,2.8000216,1
9.419301,7.355493,0
4.3427057,7.4844313,2
2.4996855,3.4535046,2
-1.1102141,6.317055,3
4.8167357,7.9791603,2
5.133425,6.4664907,1
8.384909,8.216272,1
-1.2255584,4.053983,2
7.061383,4.8529296,1
11.315325,5.788394,1
-0.66407466,7.189113,3
4.347213,5.166286,1
10.380619,6.8632655,0
10.631933,5.769258,0
1.4915404,2.8880024,3
9.332089,2.8400493,0
5.8959193,6.752487,1
9.937695,7.467242,0
8.572406,7.295826,0
7.6518254,8.546349,2
0.923892,7.1180806,2
-1.3317618,6.6677775,3
11.064352,3.4095385,0
2.8342898,2.9258425,2
9.483959,7.6412735,0
5.1495,2.8413038,1
5.456825,3.633523,1
0.7988839,6.9876604,3
-1.1365806,8.087972,3
5.689279,5.778652,1
-0.29552498,4.6560903,2
9.256951,4.00005,0
2.1557777,6.5741143,2
10.575261,4.691374,0
8.938643,4.4066424,0
-1.3435113,5.2492566,3
-0.79625386,5.8150916,3
11.098707,3.4379406,0
3.2031531,3.9585407,2
2.3320217,7.71861,2
5.590895,7.174996,2
0.5757697,8.174969,3
5.330209,3.6620865,1
4.6578403,7.028923,2
8.755231,6.953273,0
5.149452,2.8271623,1
-0.7002817,8.730699,3
9.271919,8.28657,1
11.633971,4.7875338,0
-0.3459119,7.660603,3
6.218724,7.8355575,2
8.739738,4.96586,0
8.815076,4.265907,0
-1.8770838,4.6983857,3
3.704667,3.4070954,2
-2.1769311,5.925891,3
2.723851,7.489047,2
11.093855,6.435869,0
1.292232,5.994767,2
7.2117653,3.4276245,1
10.186277,7.082868,0
6.6486053,5.5053606,1
2.4602327,5.0141945,2
0.382714,7.2047257,3
2.1626072,4.735262,2
5.409524,2.7633722,1
8.491736,7.584225,1
9.601116,7.5769725,0
4.989209,5.25623,1
1.7961457,4.648032,2
4.026475,3.019742,2
7.322861,5.0328035,1
7.161243,3.4072566,0
4.9109807,4.4849524,1
-1.3589177,5.5908117,3
4.274258,2.7145932,1
1.2870169,3.3027017,2
8.328287,3.5119035,0
1.6211386,2.6060677,2
0.8890761,4.279138,2
-0.626544,4.862534,3
8.487554,5.0960484,1
8.623398,4.2754145,0
7.96051,6.888645,1
2.015683,3.376735,2
0.56551594,7.2305965,3
7.4230494,5.680306,1
3.537221,5.086627,1
-0.2575575,4.6566796,2
0.21384242,7.1885858,3
10.599636,5.8477435,0
2.2708032,7.736691,2
3.0724447,2.9732616,2
-1.1971292,6.7594767,3
4.4140587,7.186327,2
5.1093907,8.028067,2
3.9983547,3.1205776,2
-1.7642785,4.8447685,3
8.312634,8.583869,2
5.359349,5.7084947,1
8.309387,8.501283,1
9.91446,5.0470686,0
6.0506644,7.9641953,1
11.175854,3.6173868,0
1.1208459,6.592936,3
6.9617906,7.836849,1
11.1728945,6.517593,0
1.5824198,2.6950426,2
4.4467883,3.3478444,1
5.8489413,4.94407,2
0.1267818,6.4798555,3
2.1600027,7.783674,3
3.202965,6.3680654,3
-0.7629967,8.205008,3
2.757621,2.6535218,2
11.004718,6.5952983,0
-1.3105017,4.1153026,3
2.0669289,4.532295,1
2.2377155,5.150502,2
9.266582,7.0624022,0
-0.8770871,8.469855,3
-0.24690652,6.0474243,3
6.790992,4.7336235,1
1.2705746,5.942737,2
1.7798276,6.3305464,2
-2.0237575,5.3937216,3
3.7642596,3.4883592,2
6.745842,8.043651,1
-1.9987638,6.6010456,3
7.8730464,4.4513583,1
2.4306521,7.969974,2
7.631278,7.8202624,1
3.7079327,7.482783,3
8.055845,8.434246,1
8.030054,8.365929,2
4.6518793,4.949867,1
0.1500195,6.2712727,3
9.206392,7.9782023,1
6.0317883,7.8966937,1
2.4432273,8.182078,2
0.6235435,7.5823565,3
7.4032097,5.0605955,1
9.857094,4.642742,0
9.350978,6.264831,0
1.5761838,6.381574,2
1.8006588,8.745727,3
1.2919337,7.4524665,3
4.250664,2.919788,1
5.7833304,6.565522,1
2.78972,3.9223714,2
9.775908,5.214297,0
0.3096349,5.377956,2
10.105479,7.314806,0
5.4792867,5.9423985,1
-0.88952655,4.5977607,3
8.003905,6.129621,0
10.323896,3.393835,0
3.1994433,5.7207503,2
3.8331087,7.4353433,3
5.3371205,5.7458844,1
7.085753,5.626534,1
-1.831566,6.0040393,3
10.153249,4.852932,0
4.4783654,7.1512465,2
10.683883,5.4785833,0
10.520374,3.6846488,0
2.3343165,4.6215405,1
3.6395168,2.5768635,2
-0.80988085,4.716176,3
4.930275,3.5664809,1
5.6369557,7.98734,2
7.171286,4.751848,1
-1.4165099,5.654707,3
3.836888,6.370515,2
7.2500916,5.8594356,1
5.986044,7.6604924,2
-2.3970504,4.939544,3
-0.16725695,5.0052314,3
1.4196982,5.9312425,2
9.715529,4.7739425,0
10.491132,5.8776026,0
4.537218,3.0765102,1
2.1529307,8.476139,2
7.621551,8.521625,1
9.639408,6.3515425,0
4.746613,5.523194,1
9.364648,4.53173,0
0.009326614,5.8358727,3
1.4192835,5.9652133,2
1.393663,5.4734955,2
11.607537,5.2462277,0
10.130993,3.6357074,0
1.5292817,4.492051,2
1.7036474,2.679256,2
5.625609,3.309042,1
1.3589479,7.4825964,3
10.186563,6.72412,0
4.694995,7.242176,2
10.108821,7.11187,0
-1.4409734,4.4768615,3
9.55182,7.5007973,0
6.9998355,4.815569,1
6.3656073,6.9505224,1
9.997648,5.693333,0
9.745271,5.7653546,0
-0.85221756,8.528494,3
9.115337,6.3368564,0
0.8252309,5.4066973,3
5.012342,2.7853658,1
4.456253,6.980874,2
4.2763677,6.3689094,2
8.293582,6.6945667,0
10.208134,5.931059,0
2.3804855,3.9020653,2
2.4255774,7.3372736,2
10.990327,6.912276,0
7.1433406,5.2577953,1
5.9674926,4.4827867,1
8.006439,3.4068909,0
10.300823,7.101024,0
3.5944846,5.3311925,1
7.8258796,6.4746003,1
10.812625,7.0324907,1
5.296618,7.5374885,2
11.066175,6.509736,0
0.31460473,6.051546,3
0.4736384,6.8181534,3
4.070879,6.8264523,2
4.2013984,2.4084945,1
-0.053702284,6.9776244,3
7.917923,3.7843168,0
9.698795,5.277639,0
0.18820666,6.8439083,3
1.9239966,4.8819003,2
7.9139466,4.4496803,1
9.902728,3.916486,0
-0.9710363,5.822422,3
6.132859,4.354289,1
5.396209,5.7295017,1
4.841732,4.397996,1
2.7438214,7.9368973,2
5.52457,6.0392566,1
11.069689,4.2897506,0
2.775568,7.8246126,2
-1.7385051,7.0437045,3
-1.9024634,6.9257927,3
4.027999,3.2675693,1
2.4320242,7.9697747,2
8.587202,3.324968,1
-0.9869302,9.050943,3
6.8752804,7.626299,1
2.8844798,2.915127,2
0.38038602,7.1222506,3
5.868405,6.0499187,1
2.2224495,6.26529,2
7.5636787,7.769097,1
1.1992673,3.2698057,3
0.19632074,5.5489974,2
8.941001,4.4808474,0
0.24353816,6.6991444,3
8.865519,7.573615,0
5.594809,4.6150193,1
8.078752,3.6761122,0
6.401687,6.3986936,1
-1.184434,6.630818,3
5.073796,7.9539123,2
-0.0917239,8.38324,3
9.574151,6.550615,0
2.718054,2.6276283,2
4.052955,7.8021836,2
2.2040544,7.9533105,2
3.975768,7.185435,2
1.3224307,6.1333914,2
-1.680495,4.774259,3
2.9924777,4.5709577,2
5.0932827,2.3503826,1
11.76649,5.132485,0
7.364633,4.975055,1
0.4069221,5.8905716,3
10.779047,3.2320497,0
6.379022,7.263768,1
-0.22619367,4.7462,2
-2.267591,5.266731,3
3.9420815,6.9071116,3
7.6937056,3.3040433,0
0.37069815,8.271731,3
10.685515,4.2099347,0
9.458447,5.512678,0
3.2124543,2.896932,2
2.2829413,5.2392282,3
-2.0076168,4.9879336,3
1.3807291,4.5461893,2
5.9053836,8.156815,2
2.4354343,7.1204147,2
2.575464,3.380216,2
9.855764,4.859551,0
-1.1721854,4.0526175,2
0.06340031,6.003187,3
10.709011,7.3875084,1
-2.2468688,5.4056425,3
-0.3704991,5.0021167,3
3.5948997,3.3405778,2
10.456849,3.926016,0
3.9609444,5.85426,2
6.0010834,4.4703903,1
8.407378,4.841481,0
3.158774,5.1820374,2
7.5279646,5.763473,1
2.9467561,4.429986,2
5.84222,7.1822476,1
1.7861718,2.6684017,3
-1.7006371,4.5428934,3
5.1887417,6.4837155,1
11.611568,4.5361357,0
-1.2251469,7.4881897,3
6.142466,6.7984877,1
10.542122,3.169099,0
9.357426,6.8431487,0
5.458616,5.790678,1
-1.043723,4.050672,2
1.2913858,6.029953,3
0.3030888,7.0315833,3
9.2781925,6.7872386,0
6.537414,4.70313,2
-0.53626573,4.385858,2
4.437345,5.229008,1
10.8600235,7.127007,1
-1.3985624,7.723314,3
4.130217,2.8788612,1
8.09667,7.52671,1
5.924146,6.451811,1
7.7993073,6.6606975,0
9.316121,2.8952818,0
7.1349998,8.278461,1
6.1584744,6.256361,1
0.545555,8.226926,3
9.182029,4.170621,0
1.5126507,6.198453,2
5.8693886,7.0208883,1
10.996158,3.3762589,0
9.424511,3.8196971,0
1.9225076,2.6302555,2
7.39915,3.4015174,1
2.2707462,5.5170245,2
-1.7811254,4.8635173,3
4.1269283,2.8723018,1
-0.7354603,8.366174,3
8.258276,5.5360103,2
3.3353236,2.854751,2
2.0625453,6.03008,2
3.9351726,7.5737147,2
2.2848833,3.7720613,2
7.1937895,3.3947866,1
10.35529,3.8508587,0
-0.26653323,4.3387146,2
-1.1864913,7.7054205,3
-0.891722,8.448151,3
5.897707,8.066248,2
2.7519324,2.5175405,2
11.248274,4.498882,0
7.668936,5.8937345,1
0.15880875,7.180812,3
10.247687,3.9951699,0
-0.09061987,6.0390067,3
4.107743,4.944491,1
10.321903,5.956428,0
-0.6870936,8.114857,3
9.535222,5.2340064,0
1.2273129,6.0690746,3
9.156808,5.257422,0
8.134336,5.2883525,1
10.488059,3.7373552,0
11.582218,4.7450066,0
10.767093,7.3327703,1
1.4364722,5.85604,2
1.4927617,4.2465534,2
-1.7085118,5.5534325,3
-0.2989873,4.574174,2
-0.051891252,8.460046,3
9.830673,5.222781,0
9.993377,3.908635,0
-2.2582438,5.073143,3
11.08868,6.620991,0
3.3837514,3.0272892,2
11.346548,4.8824563,0
3.543356,7.350707,3
4.3044724,3.8420734,1
-2.3101444,5.4832025,3
9.800631,4.9618335,0
4.8437767,5.3441887,1
2.0040398,4.060545,2
9.245562,7.355409,0
1.9823805,5.068505,2
7.222496,7.3098054,1
-2.3725889,5.1299286,3
4.911834,4.538181,1
10.143562,6.965121,0
6.0897775,8.0112505,2
-1.248468,6.2458315,3
10.079861,5.9809866,0
8.104746,8.640812,2
4.7090936,4.43945,1
1.4973891,2.6786294,3
9.572513,6.9805026,0
-0.8523508,7.0084434,3
8.462143,8.02628,1
10.191272,7.385841,0
-1.0461353,5.820484,3
7.995856,4.411182,1
5.0631595,2.9555664,1
-0.06484681,6.0022683,3
-0.43060702,4.398598,2
-0.69853675,4.6463666,3
8.866992,3.7807643,1
5.9377837,7.888731,1
10.852953,5.861236,1
9.67416,6.257942,0
4.062708,2.822774,1
-2.0336246,4.9610887,3
7.609496,7.18606,1
11.312154,6.1512737,0
5.958316,4.5225954,1
7.0550694,2.975268,0
10.943003,6.2730856,0
1.5469792,4.3315153,2
10.7004595,5.2912784,0
2.998558,4.5082946,2
3.8582633,3.498062,2
9.071097,8.335887,1
8.975907,4.9912767,0
0.05796189,5.1363277,2
8.161875,8.511642,1
4.1100416,5.131077,1
-0.57849693,7.7293944,3
8.867524,5.42025,0
-0.8770513,7.1773195,3
-0.8632695,8.682843,3
2.6579916,5.013276,1
1.1612891,8.556296,3
3.367669,5.1432986,1
0.49136516,8.240686,3
7.5842257,7.769469,1
6.71068,4.7683077,2
2.8042,7.824875,2
0.21173266,5.3323803,2
3.8266356,3.0582778,2
10.042087,3.8229876,0
9.100162,5.694424,0
10.237111,3.8385808,0
10.462367,4.0805235,0
1.580274,6.6824503,2
9.733857,5.97835,0
9.347764,7.2197304,0
9.652812,4.927283,0
0.5258259,6.8982244,3
9.887453,2.9711657,0
9.24448,7.312932,0
-1.4546846,6.393576,3
10.81526,7.215411,1
3.6863413,7.245565,3
9.945317,5.0781054,0
1.9429114,3.5993836,2
8.8628,3.8490458,1
2.1907864,6.606949,2
1.1635725,3.373499,3
9.513458,4.19875,0
9.874586,3.8244052,0
7.508098,7.7868958,2
-0.30345786,5.166454,3
4.280997,2.9822152,1
11.660365,4.4819393,0
10.78457,6.4320593,0
2.871646,2.5062191,2
10.3356,6.8264613,0
-2.229297,5.1138825,3
8.1692095,3.638359,0
-1.7887306,6.905783,3
4.326511,3.6470954,1
7.314366,5.1971393,1
3.956874,7.480239,2
2.9806695,4.2185535,2
0.32144278,7.27039,3
8.1221285,4.6482477,1
-1.8605131,6.068858,3
3.0894914,4.1988716,2
0.68153054,5.4032736,2
9.930389,4.9769626,0
5.781971,3.3025625,1
4.0074673,7.7602816,2
2.210283,7.839004,2
2.1926413,5.434314,2
-0.054270834,8.470011,3
5.3080344,6.8439875,1
5.811463,3.424885,1
7.4430294,4.804481,1
10.021894,3.8799384,0
11.443003,4.5494275,0
10.327334,3.268762,0
11.26943,6.115438,0
5.802869,7.408129,1
5.0597987,3.4835157,1
3.724589,3.5107613,2
2.374624,5.048009,1
-2.2634768,5.7226386,3
4.1852264,3.353777,1
5.4519215,8.003168,2
11.07043,6.445828,0
2.3256893,3.7882035,2
11.069521,6.39768,0
2.2559667,8.0657015,2
0.6416175,6.781516,3
2.2708628,7.759657,2
6.9246273,3.015142,0
-1.0171443,5.697078,3
8.807374,2.9173925,0
-1.5654445,7.479012,3
11.752996,4.9431,0
-1.1900066,6.6484094,3
3.7339263,6.441955,2
-0.00064566237,8.4194145,3
6.289408,6.302673,0
4.140115,2.911114,1
5.1822557,6.340517,1
3.4454484,5.502748,2
7.81514,5.1262226,1
8.328831,5.049864,1
