TSNE1,TSNE2,n_cores
-44.060196,1.0299416,2
16.388578,-22.83748,8
-21.477545,-7.3011417,7
32.897327,7.744485,3
0.06837911,19.134438,5
14.183722,-12.99065,7
20.361385,-19.53203,3
-33.955524,-7.564554,5
30.682184,13.638043,3
-6.3351502,13.005164,2
-31.920612,11.311733,8
-32.743225,-16.932169,4
15.140348,24.531515,2
41.768414,25.116915,3
10.31282,22.35234,5
20.56491,-1.1585869,4
54.55235,-1.3738406,1
46.37111,7.6682653,3
-4.7423334,13.5423355,2
-33.649635,16.555542,4
-34.569893,-8.734031,3
-4.81922,18.868605,6
-17.1926,-1.2128571,3
-2.8751523,23.409414,7
-33.992165,-25.458208,8
-7.7838907,11.836763,7
26.273542,-33.09858,4
26.288223,19.61395,5
12.913684,-27.307632,6
-40.83316,17.695322,5
-35.091724,-16.498734,6
-46.92777,-23.575556,3
52.747345,-2.8190205,2
-49.370575,-4.169598,1
4.441747,-7.733645,5
6.4945855,-10.951797,2
27.551952,-15.448829,5
-30.74906,12.247225,4
33.88712,5.6752186,6
-39.74438,5.3616214,1
14.753792,-22.524101,5
24.261604,5.087812,7
4.5909524,21.774483,5
-38.66243,17.267897,3
36.46009,-12.307335,6
7.011958,17.791441,6
16.142818,1.4899664,3
-20.144098,-9.494043,5
40.245197,7.1266413,7
-18.728146,27.948282,2
42.167282,25.394747,7
-7.761931,-18.839262,4
-42.835278,8.170155,3
-35.84445,-11.100424,5
-20.145002,-24.42175,4
-19.71654,-24.636923,6
-6.891026,12.622883,6
26.93025,36.094574,4
-39.556236,11.09124,8
-40.086693,12.645664,2
-30.534216,21.798893,4
46.01764,16.605444,6
31.37411,12.184913,8
7.094669,-16.488493,2
-23.945194,-21.45165,4
-45.01131,0.037660267,7
53.494114,0.63773847,7
40.63807,8.860725,5
6.732768,-13.857571,7
11.827768,29.360943,7
12.596087,-33.285492,1
25.139177,3.7744923,2
-39.532745,2.4265566,4
-17.862164,-8.117434,5
26.827242,-12.843484,5
-47.62665,-6.183452,6
-44.64926,-6.449783,1
52.664036,-4.8721423,2
14.72676,-30.800758,1
8.318832,-10.290914,5
50.03619,-10.760265,4
9.158164,-29.731478,2
5.870211,-15.573031,2
-41.62692,19.876253,5
-12.196645,-7.409981,2
53.658913,-6.183524,6
10.900239,-4.437496,6
43.10041,3.1883574,4
50.67585,-8.3525095,3
-31.217016,11.030532,3
32.17281,-8.7976055,8
42.603466,10.140744,7
11.9377365,-32.910027,3
-18.350243,10.535856,6
31.526093,27.909626,1
5.8398786,23.230186,3
4.902956,17.069557,8
38.761166,22.075281,1
-1.0347162,-27.285616,8
-16.048859,-8.507444,1
-36.871487,-24.270433,3
-39.665905,16.877672,6
-21.004452,11.682313,2
-28.637892,-4.0235257,2
-49.189,4.2322903,4
30.200811,20.647987,2
26.272036,-14.23647,4
-44.088856,-22.944447,4
-20.306215,-9.052445,2
-5.9069095,11.79483,2
-36.507923,13.0577965,2
-26.317808,-21.728937,4
27.461872,35.80722,7
-16.042187,33.23006,8
19.009972,25.688417,6
6.1356497,-34.789818,3
13.490758,16.583538,1
41.047096,-18.322842,1
-46.501575,-7.0321918,8
38.293495,-18.620882,8
-14.189455,-25.91138,3
30.23681,8.832492,7
5.7745337,20.24504,7
-5.362498,-16.579031,5
49.366673,-7.470244,7
28.259785,35.049545,6
-37.962948,3.035757,8
40.09602,-13.73462,4
-39.02289,23.194614,1
17.279533,27.468811,6
33.44546,12.915274,5
-38.149975,-16.412863,5
6.7027807,8.299786,1
13.746105,7.560416,1
-47.41658,8.091431,3
28.059307,20.774134,1
-5.3767104,-30.883451,5
-33.604095,-22.956625,7
-25.204212,-16.361786,7
17.353678,-23.970926,1
39.517258,-17.97045,5
-22.741972,-9.13033,3
10.908265,11.483333,6
22.465483,-21.229898,2
-48.606434,-15.57664,2
-37.47416,-11.694666,6
-30.620497,-9.485735,3
-15.978047,-7.998974,4
-0.10479792,-29.145775,3
11.041045,11.305644,8
30.652348,27.087004,2
-11.428413,-8.3378,4
-17.699965,30.611586,1
-43.754425,-20.377,3
19.235474,-36.385025,6
16.097357,-21.745678,5
-46.9481,-4.9113936,4
-24.965876,4.0073004,4
-47.45644,0.624089,3
8.565603,-25.616608,8
19.692406,22.299957,4
40.75899,-5.611144,8
26.700737,35.29115,1
19.573671,29.35564,3
-18.383097,21.985218,6
-34.759087,17.48054,4
-22.268053,10.23474,5
24.699772,-15.314434,8
-6.189801,23.866962,8
30.293295,-8.076126,6
26.969717,16.805525,8
-17.05471,-26.387493,5
-17.76298,-3.0378523,3
-30.135008,-11.52289,4
40.27976,28.771105,6
-15.721901,-3.8244028,5
2.6397884,-31.072483,2
21.761889,-20.288752,2
-17.68142,0.9541712,2
-31.697668,16.168852,2
-37.152664,-5.4021387,7
-32.653477,7.3060923,8
-36.05334,14.26601,5
-19.495811,-27.424986,7
50.427536,-9.51736,2
8.253289,-35.36876,2
-49.253918,8.167292,1
31.613417,12.905916,4
-42.77834,-16.298616,3
-34.453712,20.522972,4
-51.62355,-6.0048237,8
-40.271496,21.321352,7
-14.577615,4.7028174,5
44.2099,1.2306278,1
27.235428,20.22491,8
-10.599771,-6.0006094,8
-46.216885,-4.9368353,2
-19.209408,9.174662,8
0.929769,-23.491571,8
-21.293596,-9.595332,7
-24.572826,-0.073596895,3
17.289145,-11.13526,8
-6.656769,23.47269,5
8.055427,17.985533,2
42.314175,-14.845071,3
52.871834,0.29952008,5
-28.176394,30.093452,1
33.97241,-13.56702,8
-50.28043,-3.8889256,6
-35.915054,-15.545249,3
-31.36905,3.236027,7
3.984222,11.660902,2
7.33409,-1.5632498,6
-16.29844,-6.66986,1
25.008133,-31.708994,1
5.7144685,-1.026688,2
-28.707708,12.891284,2
35.986084,-16.337923,7
8.648053,-8.805898,8
-28.921728,30.730267,8
46.326256,2.7770507,1
-14.201117,23.191984,3
14.9530735,8.430977,1
-48.251896,9.278507,8
-36.708508,21.403696,4
9.9427805,-26.740026,4
-21.84464,1.6674913,6
10.437337,14.314103,6
-47.884205,-0.83731365,6
-45.671467,5.6661725,4
5.113057,-33.377094,1
-43.66756,-21.349133,5
-11.072392,19.701355,6
48.722424,-7.2125244,6
24.943136,-19.789341,2
-29.891138,17.973959,1
-3.8275485,4.4240932,2
55.27898,-6.795529,1
41.78629,3.38926,1
-24.17963,-20.790085,8
2.4192753,-23.888557,1
36.840805,18.660086,5
38.359283,-16.442686,6
51.040115,3.1251087,1
-35.805847,-24.025366,8
16.06924,14.566703,7
6.1229916,-4.7643275,1
8.647626,-22.059351,4
51.228374,7.3718667,1
30.438442,-8.5868845,4
30.06198,-19.48865,8
-26.824064,32.519814,3
-14.859308,-26.423658,5
44.406017,12.412333,4
42.470444,0.80903006,7
-27.514761,29.561216,1
43.10667,2.7441635,5
35.968777,15.695811,5
32.936386,6.501426,1
22.52374,26.728735,1
31.586597,26.09521,4
-37.09605,23.03025,2
11.73635,-23.869709,1
16.470009,0.99546903,4
11.83419,14.158065,4
