against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,height_m,hp,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
0.996875,1.0571875,0.96875,1.0728125,1.0690625,1.065625,1.13625,1.19375,0.985,1.0340625,1.099375,1.2071875,0.8875,0.9759375,1.0053125,1.249375,0.9821875,1.0571875,77.83,7192.0,65.35625,428.2875,98.76125,73.025,1054989.825,1.165,68.97,55.15576102418208,400.53375,71.27,70.925,66.2675,17,7,61.40551282051282,3.68625,0.0875
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49.0,5120.0,70.0,318.0,45.0,49.0,1059860.0,0.7,45.0,88.1,1.0,65.0,65.0,45.0,9,13,6.9,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62.0,5120.0,70.0,405.0,45.0,63.0,1059860.0,1.0,60.0,88.1,2.0,80.0,80.0,60.0,9,13,13.0,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100.0,5120.0,70.0,625.0,45.0,123.0,1059860.0,2.0,80.0,88.1,3.0,122.0,120.0,80.0,9,13,100.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52.0,5120.0,70.0,309.0,45.0,43.0,1059860.0,0.6,39.0,88.1,4.0,60.0,50.0,65.0,6,7,8.5,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64.0,5120.0,70.0,405.0,45.0,58.0,1059860.0,1.1,58.0,88.1,5.0,80.0,65.0,80.0,6,7,19.0,1.0,0.0
0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104.0,5120.0,70.0,634.0,45.0,78.0,1059860.0,1.7,78.0,88.1,6.0,159.0,115.0,100.0,6,7,90.5,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48.0,5120.0,70.0,314.0,45.0,65.0,1059860.0,0.5,44.0,88.1,7.0,50.0,64.0,43.0,17,7,9.0,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63.0,5120.0,70.0,405.0,45.0,80.0,1059860.0,1.0,59.0,88.1,8.0,65.0,80.0,58.0,17,7,22.5,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103.0,5120.0,70.0,630.0,45.0,120.0,1059860.0,1.6,79.0,88.1,9.0,135.0,115.0,78.0,17,7,85.5,1.0,0.0
1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30.0,3840.0,70.0,195.0,255.0,35.0,1000000.0,0.3,45.0,50.0,10.0,20.0,20.0,45.0,0,7,2.9,1.0,0.0
1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20.0,3840.0,70.0,205.0,120.0,55.0,1000000.0,0.7,50.0,50.0,11.0,25.0,25.0,30.0,0,7,9.9,1.0,0.0
0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45.0,3840.0,70.0,395.0,45.0,50.0,1000000.0,1.1,60.0,50.0,12.0,90.0,80.0,70.0,0,7,32.0,1.0,0.0
